Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,I,N,NS,P,PI,S,SI,U,W,WF,WN,
,,20600,Studio In VCD,202320,Spring 2023,3,14433,"Deal, James David",41.70%,,41.70%,,8.30%,,,,,,8.30%,,,,,,,,,,,,,,,,
,,,,,,4,19067,"Kim, Do Gyun",41.70%,,41.70%,,,,,,,,,,,,8.30%,,,,,,,,,8.30%,,,
,,,,,,5,25330,"Kim, Do Gyun",38.50%,,38.50%,,,7.70%,7.70%,,,,,,,,7.70%,,,,,,,,,,,,
,,21300,Life Drawing I,202320,Spring 2023,1,41850,"Jung, Soyoung",20.00%,13.30%,66.70%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,14386,"Penington, Eric A.",36.40%,54.50%,,,9.10%,,,,,,,,,,,,,,,,,,,,,,
,,22700,Hist Of Art Since 1400,202320,Spring 2023,1,10255,"Parrish, David C.",43.80%,13.80%,10.00%,1.30%,5.00%,2.50%,11.30%,2.50%,,1.30%,,,,,,,,,,,,,,8.80%,,,
,,,,,,2,10254,"Brandt, Allie K.",22.00%,17.80%,44.90%,,5.10%,2.50%,6.80%,,,,,,,,,,,,,,,,,0.80%,,,
,,22900,VCD Computing II,202320,Spring 2023,1,10259,"Barrett, Felicia J.",35.70%,28.60%,,,21.40%,,14.30%,,,,,,,,,,,,,,,,,,,,
,,,,,,2,10260,"Barrett, Felicia J.",28.60%,50.00%,,,,,14.30%,,,,,,,,7.10%,,,,,,,,,,,,
,,23400,Art & Design Intern Prep,202320,Spring 2023,1,62901,"Deal, James David",82.00%,1.00%,1.00%,,6.00%,1.00%,1.00%,,1.00%,2.00%,1.00%,,,,2.00%,,,,,,,,,2.00%,,,
,,23500,Materials&Processes II,202320,Spring 2023,1,16799,"Marchese, David A.",15.40%,7.70%,7.70%,,38.50%,,15.40%,,,,,,,,7.70%,,,,,,,,,7.70%,,,
,,,,,,2,10235,"Marchese, David A.",30.80%,38.50%,,,7.70%,7.70%,7.70%,,,,,,,,,7.70%,,,,,,,,,,,
,,,,,,3,25999,"Marchese, David A.",50.00%,7.10%,,,28.60%,,7.10%,,,,7.10%,,,,,,,,,,,,,,,,
,,23600,Lighting Fund For Photography,202320,Spring 2023,1,15702,"Strouse, Janell N.",73.30%,13.30%,,,6.70%,,,6.70%,,,,,,,,,,,,,,,,,,,
,,24200,Ceramics I,202320,Spring 2023,1,10265,"Brown, Desirae R.",40.00%,6.70%,26.70%,,13.30%,,,,,6.70%,,,,,6.70%,,,,,,,,,,,,
,,,,,,2,41854,"Peterson, Jessica M.",20.00%,13.30%,66.70%,,,,,,,,,,,,,,,,,,,,,,,,
,,25000,Interior Design II,202320,Spring 2023,3,17861,"Young, Barbara L.",17.60%,,,,23.50%,17.60%,17.60%,11.80%,5.90%,5.90%,,,,,,,,,,,,,,,,,
,,,,,,4,13393,"Young, Barbara L.",,43.80%,,,12.50%,25.00%,18.80%,,,,,,,,,,,,,,,,,,,,
,,25500,Art Appreciation,202320,Spring 2023,1,10271,"Hitselberger, Brian J.",32.20%,8.50%,15.30%,,3.40%,3.40%,8.50%,3.40%,1.70%,5.10%,1.70%,,3.40%,,11.90%,,,,,,,,,1.70%,,,
,,,,,,2,10270,"Sanz Giraldo, Laura Lucia",90.00%,1.70%,,,,,3.30%,1.70%,,,,,,,1.70%,,,,,,,,,1.70%,,,
,,,,,,3,20309,"Uhlig, Susan D.",82.10%,2.60%,,,2.60%,,5.10%,2.60%,,,2.60%,,,,2.60%,,,,,,,,,,,,
,,,,,,4,10236,"Uhlig, Susan D.",76.90%,7.70%,,,,2.60%,5.10%,,,2.60%,,,,,5.10%,,,,,,,,,,,,
,,25600,Presentation Technique,202320,Spring 2023,2,10275,"Ghaderi, Seyed Abolfazl",5.30%,36.80%,21.10%,,5.30%,,5.30%,5.30%,,5.30%,,,5.30%,,10.50%,,,,,,,,,,,,
,,,,,,3,16752,"Ghaderi, Seyed Abolfazl",5.60%,16.70%,22.20%,,11.10%,16.70%,5.60%,,11.10%,,,,,,,,,,,,,,,11.10%,,,
,,26200,Jewelry & Metalwork I,202320,Spring 2023,2,10279,"Mohl, Jessica S.",50.00%,28.60%,,,,,21.40%,,,,,,,,,,,,,,,,,,,,
,,,,,,3,18577,"Mohl, Jessica S.",21.40%,35.70%,,,14.30%,,14.30%,7.10%,,,,,7.10%,,,,,,,,,,,,,,
,,26500,Relief Printmaking,202320,Spring 2023,1,10282,"Scheuer, Jennifer",27.30%,18.20%,27.30%,,,,9.10%,9.10%,,,,,,,,,,,,,,,,9.10%,,,
,,26600,Silkscreen Printmaking,202320,Spring 2023,1,25979,"Brownlow, Grant M.",36.40%,45.50%,,,,9.10%,9.10%,,,,,,,,,,,,,,,,,,,,
,,26700,Digital Imaging,202320,Spring 2023,1,19435,"Dean, Katherine E.",53.30%,13.30%,6.70%,,13.30%,,6.70%,,,,,,,,6.70%,,,,,,,,,,,,
,,,,,,2,21166,"Dean, Katherine E.",14.30%,7.10%,28.60%,,,7.10%,14.30%,7.10%,,14.30%,,,7.10%,,,,,,,,,,,,,,
,,,Digital Imaging-Honors,202320,Spring 2023,2,21166,"Dean, Katherine E.",,,,,,,,,,,,,,,100.00%,,,,,,,,,,,,
,,27500,Beginning Sculpture,202320,Spring 2023,1,15726,"Kendrick, Amanda J.",30.80%,,23.10%,,15.40%,,15.40%,,7.70%,,,,,,7.70%,,,,,,,,,,,,
,,28000,Human Behavior And Design Envr,202320,Spring 2023,1,10198,"Woolley, Kevin H.",4.90%,39.00%,,,26.80%,7.30%,14.60%,2.40%,,,,,,,2.40%,,,,,,,,,2.40%,,,
,,28500,Inter Comp & Materials,202320,Spring 2023,1,10286,"Bittner, Laura E.",12.50%,37.50%,,,12.50%,3.10%,28.10%,,,6.30%,,,,,,,,,,,,,,,,,
,,30300,Art MID Jr High Schls,202320,Spring 2023,10,26167,"Sabol, Frank R.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30400,Video Art,202320,Spring 2023,1,58259,"Winkler, Fabian",18.80%,31.30%,31.30%,,,,12.50%,6.30%,,,,,,,,,,,,,,,,,,,
,,,,,,2,11167,"Terrell, Michael S.",15.40%,,53.80%,,7.70%,,7.70%,,7.70%,7.70%,,,,,,,,,,,,,,,,,
,,,,,,3,26176,"Terrell, Michael S.",26.70%,6.70%,40.00%,,13.30%,6.70%,6.70%,,,,,,,,,,,,,,,,,,,,
,,30600,Industrial Design II,202320,Spring 2023,1,10294,"Sohn, Jung J.",47.10%,29.40%,23.50%,,,,,,,,,,,,,,,,,,,,,,,,
,,30701,Contemporary Photography,202320,Spring 2023,1,18580,"Craven, Eli J.",21.40%,35.70%,28.60%,,,,14.30%,,,,,,,,,,,,,,,,,,,,
,,31400,Experimental Drawing,202320,Spring 2023,1,34191,"Penington, Eric A.",28.60%,28.60%,,,7.10%,7.10%,21.40%,,,,,,,,7.10%,,,,,,,,,,,,
,,31600,Semnr Indust Des I,202320,Spring 2023,1,13594,"Qian, Zhen Yu",18.80%,31.30%,12.50%,,12.50%,6.30%,18.80%,,,,,,,,,,,,,,,,,,,,
,,31900,Web Dsgn Visual Comm,202320,Spring 2023,1,10297,"Bendito, Petronio A.",33.30%,6.70%,46.70%,,,,,,6.70%,,,,,,,,,,,,,,,6.70%,,,
,,,,,,2,10298,"Bendito, Petronio A.",12.50%,6.30%,68.80%,,,,,,,,,,,,12.50%,,,,,,,,,,,,
,,34600,Italian Renaissance Art,202320,Spring 2023,1,26182,"Martin, Linda M.",9.10%,13.60%,18.20%,,22.70%,9.10%,9.10%,,4.50%,,9.10%,4.50%,,,,,,,,,,,,,,,
,,35000,Interior Design IV,202320,Spring 2023,2,13855,"Bittner, Laura E.",29.40%,35.30%,,,,,5.90%,17.60%,5.90%,5.90%,,,,,,,,,,,,,,,,,
,,36200,Jewelry And Metalwork,202320,Spring 2023,1,20167,"Mohl, Jessica S.",33.30%,41.70%,,,,,16.70%,,,,,,,,,,,,,,,,,8.30%,,,
,,36600,Visual Commu Design II,202320,Spring 2023,1,10305,"Kim, Hyungjoo A.",31.30%,18.80%,6.30%,,6.30%,12.50%,12.50%,,,6.30%,,,,,6.30%,,,,,,,,,,,,
,,,,,,2,10304,"Kim, Hyungjoo A.",18.80%,12.50%,12.50%,,18.80%,6.30%,25.00%,,,,,,,,,,,,,,,,,6.30%,,,
,,38400,Contemporary Art,202320,Spring 2023,1,10310,"Griffith, Charmaine R.",21.80%,16.40%,20.00%,,7.30%,,14.50%,1.80%,1.80%,3.60%,3.60%,,1.80%,,5.50%,,,,,,,,,1.80%,,,
,,38500,History Of Int Design,202320,Spring 2023,1,10290,"Kaufmann-Buhler, Jennifer B.",22.50%,27.50%,10.00%,,15.00%,5.00%,12.50%,,2.50%,2.50%,,,,,2.50%,,,,,,,,,,,,
,,39600,Art Museum Practices,202320,Spring 2023,1,14063,"Parrish, David C.",46.90%,12.50%,25.00%,,6.30%,,,,,,,,,,6.30%,,,,,,,,,3.10%,,,
,,40200,Art In Secondary Schl,202320,Spring 2023,1,17509,"Sabol, Frank R.",93.30%,,,,,,,,,,,,,,6.70%,,,,,,,,,,,,
,,40600,Industrial Design IV,202320,Spring 2023,1,10316,"Kim, Tong J.",60.00%,6.70%,33.30%,,,,,,,,,,,,,,,,,,,,,,,,
,,41600,Sem Ideas Industrial Design II,202320,Spring 2023,1,63673,"Kim, Tong J.",26.70%,,73.30%,,,,,,,,,,,,,,,,,,,,,,,,
,,43200,Visual Comm Design IV,202320,Spring 2023,1,10302,"Deal, James David",33.30%,,66.70%,,,,,,,,,,,,,,,,,,,,,,,,
,,44000,Inter Detail & Const,202320,Spring 2023,1,62998,"Ebbini, Genell W.",5.00%,,10.00%,,50.00%,5.00%,,5.00%,,20.00%,,,,,5.00%,,,,,,,,,,,,
,,46500,Professional Practice,202320,Spring 2023,X01,10361,"Woolley, Kevin H.",5.00%,25.00%,,,10.00%,15.00%,25.00%,,5.00%,15.00%,,,,,,,,,,,,,,,,,
,,47800,Intern Art And Design,202320,Spring 2023,1,10363,"Instructor, Off Campus",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,49100,Intr Museum Studies: UK Survey,202320,Spring 2023,1,24783,"Kvam, Erika I.",40.00%,5.00%,40.00%,,10.00%,5.00%,,,,,,,,,,,,,,,,,,,,,
,,49900,Studio Arts Prof Prac/Sr Exh,202320,Spring 2023,1,63053,"Craven, Eli J.",22.20%,,77.80%,,,,,,,,,,,,,,,,,,,,,,,,
,,51200,Interaction Design Studies,202320,Spring 2023,1,26067,"Kim, Tong J.",15.40%,46.20%,30.80%,,,,7.70%,,,,,,,,,,,,,,,,,,,,
,,52000,Visual Design Service,202320,Spring 2023,2,12687,"Deal, James David",14.30%,,78.60%,,,,,,,7.10%,,,,,,,,,,,,,,,,,
,,,,,,3,26690,"Deal, James David",8.30%,,91.70%,,,,,,,,,,,,,,,,,,,,,,,,
AFT,AFT-Aerospace Studies,12000,Heritage And Values II,202320,Spring 2023,1,10534,"Le, Kathleen H.",91.30%,4.30%,,,,,4.30%,,,,,,,,,,,,,,,,,,,,
,,,,,,3,10536,"Le, Kathleen H.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,46926,"Le, Kathleen H.",85.70%,,,,4.80%,,,,,,,,,,,,,,,,,,,9.50%,,,
,,20220,Air Force ROTC Lead Lab,202320,Spring 2023,1,20041,"Le, Kathleen H.",,,,,,,,,,,,,,,,,,,96.70%,,,,,3.30%,,,
,,24000,Team & Ldrshp Fund II,202320,Spring 2023,1,10538,"Willis, Adam J.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,10539,"Willis, Adam J.",81.00%,9.50%,,,,,,,4.80%,,,,,,,,,,,,,,,4.80%,,,
,,,Team & Ldrshp Fund II-Honors,202320,Spring 2023,1,10538,"Willis, Adam J.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,36100,Leading Ppl & Effect Comm II,202320,Spring 2023,1,10541,"Meoli, Michael T.",75.00%,12.50%,12.50%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,15709,"Meoli, Michael T.",69.20%,15.40%,7.70%,,,,,,,7.70%,,,,,,,,,,,,,,,,,
,,40220,Air Force ROTC Lead Lab,202320,Spring 2023,1,20038,"Le, Kathleen H.",,,,,,,,,,,,,,,,,,,100.00%,,,,,,,,
,,48100,Natl Sec Commission Prep II,202320,Spring 2023,1,10544,"Callahan, Kenneth",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,19331,"Callahan, Kenneth",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
AGEC,AGEC-Agricultural Economics,20201,Intro To Data Analytics AGBS,202320,Spring 2023,1,10599,"Neuhofer, Zachary T.",27.60%,16.20%,11.40%,,16.20%,5.70%,7.60%,5.70%,1.00%,2.90%,1.00%,,,,3.80%,,,,,,,,,1.00%,,,
,,20300,Microecon Food & Agbus,202320,Spring 2023,1,10549,"Lee, John G.",39.60%,,0.90%,,38.70%,,,16.20%,,,1.80%,,,,2.70%,,,,,,,,,,,,
,,20400,Intro To Resource Econ,202320,Spring 2023,1,68760,"Lee, John G.",37.50%,,1.00%,,43.80%,,,8.30%,,,5.20%,,,,3.10%,,,,,,,,,1.00%,,,
,,21700,Economics,202320,Spring 2023,1,10551,"Moss, Leeann E.",37.80%,12.40%,31.80%,,6.70%,0.40%,5.20%,0.40%,,2.60%,0.70%,,0.40%,,1.10%,,,,,,,,,0.40%,,,
,,,,,,Y01,57258,"Moss, Leeann E.",37.50%,16.40%,24.20%,,8.50%,2.40%,4.80%,2.00%,,1.40%,,0.30%,0.30%,,1.00%,,,,,,,,,1.00%,,,
,,,Economics-Honors,202320,Spring 2023,1,10551,"Moss, Leeann E.",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,22000,Econ Of Agricultural Markets,202320,Spring 2023,1,10554,"Mallory, Mindy L.",9.60%,20.20%,11.50%,,15.40%,10.60%,11.50%,4.80%,1.00%,12.50%,1.00%,,1.00%,,,,,,,,,,,1.00%,,,
,,25000,Econ Geog World Food,202320,Spring 2023,1,10555,"Balagtas, Joseph V.",8.50%,18.60%,5.10%,,22.00%,16.90%,16.90%,1.70%,3.40%,5.10%,,,,,,,,,,,,,,1.70%,,,
,,31000,Farm Organization,202320,Spring 2023,1,10339,"Widmar, Nicole J.",21.30%,14.80%,19.70%,,13.10%,4.10%,9.80%,4.90%,1.60%,4.10%,0.80%,,0.80%,,3.30%,,,,,,,,,1.60%,,,
,,,,,,2,25826,"Widmar, Nicole J.",31.30%,21.90%,9.40%,,,6.30%,6.30%,12.50%,3.10%,3.10%,,,3.10%,,3.10%,,,,,,,,,,,,
,,32700,Prin Of Food & Agribus Mrkt,202320,Spring 2023,1,10619,"Kilders, Valerie",23.80%,23.80%,4.80%,,11.10%,1.60%,22.20%,3.20%,1.60%,3.20%,,3.20%,,,1.60%,,,,,,,,,,,,
,,33000,Mgmt Methods Agr Bus,202320,Spring 2023,1,10561,"Moss, Leeann E.",27.50%,6.60%,9.90%,,14.30%,2.20%,19.80%,7.70%,,3.30%,2.20%,,2.20%,,2.20%,,,,,,,,,2.20%,,,
,,33100,Prin Of Industrial Selling,202320,Spring 2023,1,10562,"Cochran, Amy L.",16.00%,18.30%,,,20.10%,8.30%,15.40%,5.30%,1.20%,6.50%,1.80%,0.60%,1.20%,,,,,,,,,,,5.30%,,,
,,33300,Food Dist Retail Persp,202320,Spring 2023,1,64067,"Wu, Steven Y.",17.00%,17.00%,9.40%,,3.80%,11.30%,1.90%,7.50%,9.40%,7.50%,11.30%,,,,,,,,3.80%,,,,,,,,
,,35200,Tech For Firm Decision,202320,Spring 2023,3,10344,"Soares Cardoso, Diego",18.30%,9.90%,15.50%,,18.30%,11.30%,5.60%,7.00%,4.20%,1.40%,1.40%,,2.80%,,2.80%,,,,,,,,,1.40%,,,
,,37500,Process Econ Research,202320,Spring 2023,1,11585,"Kuethe, Todd H.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,41000,Agricultural Policy,202320,Spring 2023,1,10567,"Keeney, Roman M.",80.00%,,3.10%,,12.30%,,,4.60%,,,,,,,,,,,,,,,,,,,
,,42100,Adv Commodity Marketing,202320,Spring 2023,1,10346,"Mallory, Mindy L.",33.30%,33.30%,21.20%,,9.10%,,,,,,,,,,,,,,3.00%,,,,,,,,
,,42400,Finan Mgt Agr Bus,202320,Spring 2023,1,43331,"Wang, Hong H.",6.30%,16.70%,2.10%,,8.30%,14.60%,16.70%,6.30%,4.20%,18.80%,2.10%,,,,4.20%,,,,,,,,,,,,
,,43000,Agr&Food Bus Strategy,202320,Spring 2023,1,10577,"Ellison, Brenna D.",37.50%,31.30%,2.10%,,4.20%,6.30%,10.40%,4.20%,,4.20%,,,,,,,,,,,,,,,,,
,,45000,Internatl Agric Trade,202320,Spring 2023,1,10114,"Hillberry, Russell H.",8.10%,5.40%,,,18.90%,5.40%,5.40%,13.50%,,5.40%,13.50%,,13.50%,,8.10%,,,,2.70%,,,,,,,,
,,45100,Applied Econometrics,202320,Spring 2023,2,65203,"Delgado, Michael S.",21.70%,34.80%,8.70%,,8.70%,4.30%,8.70%,4.30%,4.30%,4.30%,,,,,,,,,,,,,,,,,
,,49800,NAMA,202320,Spring 2023,13,22176,"Brewer, Brady E.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52400,Agricultural Finance,202320,Spring 2023,1,10588,"Langemeier, Michael R.",50.00%,8.30%,16.70%,,8.30%,8.30%,8.30%,,,,,,,,,,,,,,,,,,,,
,,52800,Feeding The World Sustainably,202320,Spring 2023,1,10441,"Hertel, Thomas W.",60.90%,8.70%,13.00%,,4.30%,,4.30%,,,,,,,,,,,,,,,,,4.30%,,,4.30%
,,60200,Prep Proced Pol Anly,202320,Spring 2023,1,10593,"Kuethe, Todd H.",95.00%,,,,5.00%,,,,,,,,,,,,,,,,,,,,,,
,,60500,Ag Markets And Prices,202320,Spring 2023,1,10636,"Ma, Meilin",54.50%,36.40%,,9.10%,,,,,,,,,,,,,,,,,,,,,,,
,,65000,Econometrics I,202320,Spring 2023,1,10356,"Fiechter, Chad M.",27.80%,11.10%,55.60%,,,,5.60%,,,,,,,,,,,,,,,,,,,,
AGR,AGR-Agriculture,20100,Com Across Culture,202320,Spring 2023,1,10646,"Morris, Pamala V.",32.90%,11.20%,29.20%,,3.10%,5.00%,4.30%,5.60%,1.20%,5.00%,0.60%,,,,0.60%,0.60%,,,,,,,,0.60%,,,
,,,,,,Y01,60720,"Holgate, Horane A.",39.30%,19.60%,8.90%,,10.70%,1.80%,10.70%,1.80%,1.80%,1.80%,,,,,1.80%,,,,,,,,,1.80%,,,
,,33300,Data Science For Agriculture,202320,Spring 2023,1,27580,"Erickson, Bruce J.",79.20%,,,,16.70%,,,,,,,,,,4.20%,,,,,,,,,,,,
AGRY,AGRY-Agronomy,10500,Crop Production,202320,Spring 2023,8,10408,"Gerber, Corey K.",40.50%,,,,45.90%,,,13.50%,,,,,,,,,,,,,,,,,,,
,,,Crop Production-Honors,202320,Spring 2023,8,10408,"Gerber, Corey K.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12500,Environmental Scienc & Conserv,202320,Spring 2023,1,10299,"Dunning, John B.",8.60%,2.90%,,,14.30%,17.10%,22.90%,20.00%,5.70%,2.90%,,,,,5.70%,,,,,,,,,,,,
,,25500,Soil Science,202320,Spring 2023,9,10701,"Rahmani, Shams Rahman R.",44.10%,,,,19.70%,,7.90%,10.20%,,3.90%,6.30%,,1.60%,,4.70%,,,,0.80%,,,,,0.80%,,,
,,,Soil Science-Honors,202320,Spring 2023,9,10701,"Rahmani, Shams Rahman R.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27000,Forest Soils,202320,Spring 2023,4,10727,"Rahmani, Shams Rahman R.",22.80%,,,,31.60%,,8.80%,17.50%,,3.50%,10.50%,,3.50%,,,,,,,,,,,1.80%,,,
,,28500,Wrld Crp Adpt & Dstrbt,202320,Spring 2023,1,24336,"Tuinstra, Mitchell R.",21.10%,9.20%,,,18.40%,18.40%,3.90%,10.50%,3.90%,5.30%,1.30%,2.60%,,,3.90%,,,,,,,,,1.30%,,,
,,,Wrld Crp Adpt & Dstrbt-Honors,202320,Spring 2023,1,24336,"Tuinstra, Mitchell R.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32000,Genetics,202320,Spring 2023,1,10747,"Anderson, Joseph M.",7.80%,13.50%,2.10%,,19.30%,13.50%,12.50%,11.50%,2.10%,11.50%,,,2.10%,,2.60%,,,,,,,,,1.60%,,,
,,32100,Genetics Laboratory,202320,Spring 2023,2,10749,"Allen, Sara L.",33.30%,25.00%,41.70%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,10751,"Allen, Sara L.",15.40%,7.70%,61.50%,,,,7.70%,,,,,,,,,,,,,,,,,7.70%,,,
,,,,,,5,10752,"Allen, Sara L.",53.80%,,15.40%,,,7.70%,15.40%,,,7.70%,,,,,,,,,,,,,,,,,
,,,,,,8,10755,"Allen, Sara L.",21.40%,7.10%,42.90%,,7.10%,,,,,,,,7.10%,,7.10%,,,,,,,,,7.10%,,,
,,,,,,9,46773,"Barker, Samantha A.",7.10%,21.40%,57.10%,,7.10%,,,,,,,,,,,,,,,,,,,,7.10%,,
,,,,,,10,55409,"King, Claire M.",7.70%,,69.20%,,,,23.10%,,,,,,,,,,,,,,,,,,,,
,,,Genetics Laboratory-Honors,202320,Spring 2023,5,10752,"Allen, Sara L.",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,10,55409,"King, Claire M.",,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,33500,Weather And Climate,202320,Spring 2023,1,10756,"Grant, Richard H.",,,,,7.30%,22.00%,,9.80%,7.30%,17.10%,7.30%,,17.10%,,4.90%,,,,2.40%,,,,,2.40%,2.40%,,
,,33700,Environmntal Hydrology,202320,Spring 2023,1,53096,"Bowling, Laura C.",29.50%,21.80%,12.80%,2.60%,6.40%,1.30%,11.50%,5.10%,1.30%,2.60%,,,,,1.30%,3.80%,,,,,,,,,,,
,,,Environmntal Hydrology-Honors,202320,Spring 2023,1,53096,"Bowling, Laura C.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,36500,Soil Fertility,202320,Spring 2023,6,10764,"Bradford, Jeffrey T.",54.50%,,,,34.50%,,,9.10%,,,1.80%,,,,,,,,,,,,,,,,
,,37500,Crop Production Systms,202320,Spring 2023,1,10769,"Schweitzer, Lee E.",78.10%,,,,14.10%,,,1.60%,,,,,,,1.60%,1.60%,,,1.60%,,,,,1.60%,,,
,,39900,Crops And Weeds Of Central CA,202320,Spring 2023,23,23041,"Bradford, Jeffrey T.",93.80%,,,,,,,,,,,,,,,,,,,,,,,6.30%,,,
,,50500,Forage Management,202320,Spring 2023,1,10780,"Johnson, Keith D.",32.60%,,,,37.00%,,,23.90%,,,4.30%,,,,,,,,2.20%,,,,,,,,
,,51500,Plant Mineral Nutritn,202320,Spring 2023,1,21547,"Zhang, Cankui",62.50%,,,,12.50%,,,12.50%,,,,,,,,,,,,,,,,6.30%,,,6.30%
,,52500,Crop Physiol And Ecol,202320,Spring 2023,1,65527,"Volenec, Jeffrey J.",16.70%,14.60%,,,8.30%,4.20%,8.30%,18.80%,4.20%,10.40%,2.10%,4.20%,2.10%,,4.20%,,,,2.10%,,,,,,,,
,,58500,Soils And Land Use,202320,Spring 2023,1,10793,"Steinhardt, Gary C.",66.70%,,,,16.70%,,,16.70%,,,,,,,,,,,,,,,,,,,
,,59700,Communicat With Public,202320,Spring 2023,1,20870,"Johnson, Keith D.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59800,Crop Mgt Drone Flt And Imaging,202320,Spring 2023,69,10481,"Schweitzer, Lee E.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST,AMST-American Studies,10100,America And The World,202320,Spring 2023,1,10832,"Ramlawi, Rachel L.",68.00%,4.00%,,,8.00%,,4.00%,4.00%,,,,,,,8.00%,,,,,,,,,4.00%,,,
,,,,,,2,16847,"Burnham, Kathleen G.",18.20%,22.70%,18.20%,,9.10%,,,9.10%,,,,,,,,18.20%,,,,,,,,4.50%,,,
,,20100,Interpreting America,202320,Spring 2023,2,28060,"Williams Tortolini, David J.",68.80%,,,,18.80%,,6.30%,,,,,,,,,,,,,,,,,6.30%,,,
,,30100,American Conspiracy Theories,202320,Spring 2023,31,23075,"Hannah, Matthew N.",43.30%,20.00%,10.00%,,,3.30%,16.70%,,,,,,,,,,,,,,,,,6.70%,,,
,,,Sport And Popular Feminisms,202320,Spring 2023,27,20102,"Cooky, Cheryl A.",12.50%,6.30%,6.30%,,12.50%,12.50%,18.80%,,18.80%,,6.30%,,,,,,,,,,,,,6.30%,,,
ANSC,ANSC-Animal Sciences,10200,Intro To Animal Agr,202320,Spring 2023,1,34428,"Blanton, John R.",33.60%,11.80%,2.50%,,27.70%,1.70%,7.60%,2.50%,1.70%,1.70%,0.80%,2.50%,,,0.80%,,,,0.80%,,,,,4.20%,,,
,,10600,Biol Companion Animal,202320,Spring 2023,1,38534,"Allrich, Rodney D.",28.60%,14.30%,35.70%,,,7.10%,,,,7.10%,,,7.10%,,,,,,,,,,,,,,
,,18100,Orientation To An Sci,202320,Spring 2023,1,10918,"Krotz, James J.",11.00%,7.60%,71.20%,,1.70%,2.50%,1.70%,,,,,0.80%,0.80%,,0.80%,,,,,,,,,1.70%,,,
,,,,,,2,10919,"Krotz, James J.",9.30%,5.20%,75.30%,,1.00%,1.00%,2.10%,,1.00%,1.00%,,,,,,,,,,,,,,4.10%,,,
,,22100,Princ Of Animal Nutr,202320,Spring 2023,1,10920,"Forsyth, Dale M.",19.10%,12.80%,10.60%,,14.90%,4.30%,8.50%,10.60%,4.30%,2.10%,6.40%,,2.10%,,2.10%,,,,,,,,,2.10%,,,
,,,,,,2,10921,"Forsyth, Dale M.",16.10%,7.10%,17.90%,,23.20%,3.60%,1.80%,12.50%,1.80%,7.10%,5.40%,3.60%,,,,,,,,,,,,,,,
,,,,,,Y01,38547,"Forsyth, Dale M.",20.00%,2.90%,8.60%,,17.10%,8.60%,,8.60%,5.70%,5.70%,5.70%,5.70%,2.90%,,,,,,2.90%,,,,,5.70%,,,
,,23000,Physiolo/Domestic Anim,202320,Spring 2023,1,10385,"Cabot, Ryan A.",12.80%,5.80%,5.80%,,9.30%,,7.00%,10.50%,7.00%,4.70%,2.30%,3.50%,2.30%,,11.60%,,,,,,,,,17.40%,,,
,,24000,Animal Production,202320,Spring 2023,1,22938,"Ebner, Paul D.",39.50%,,,,13.70%,6.50%,17.70%,2.40%,1.60%,4.00%,4.00%,,1.60%,,4.80%,,,,,,,,,4.00%,,,
,,,Animal Production-Honors,202320,Spring 2023,1,22938,"Ebner, Paul D.",71.40%,,,,14.30%,,,,,14.30%,,,,,,,,,,,,,,,,,
,,24500,Appl Animal Mgmt,202320,Spring 2023,1,10925,"Neary, Michael",30.00%,23.30%,3.30%,,10.00%,6.70%,6.70%,6.70%,,3.30%,,,,,10.00%,,,,,,,,,,,,
,,25500,Principles Of Animal Products,202320,Spring 2023,1,22942,"Zuelly, Stacy M.",29.90%,17.20%,16.10%,,4.60%,8.00%,3.40%,8.00%,,5.70%,3.40%,1.10%,,,1.10%,,,,,,,,,1.10%,,,
,,28100,Career Planning An Sci,202320,Spring 2023,1,59217,"Delks, Barry L.",78.60%,,,,7.10%,,,3.60%,,,3.60%,,,,3.60%,,,,,,,,,3.60%,,,
